City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Gimbi,ET,9.1667,35.8333,52.47,88,3,1.88,clear sky
298,Alice Springs,AU,-23.7,133.8833,76.55,44,75,16.11,broken clouds
299,Alekseyevsk,RU,57.8406,108.3492,30.22,88,100,11.68,overcast clouds
300,North Platte,US,41.1239,-100.7654,35.49,58,100,5.75,overcast clouds
301,Tuatapere,NZ,-46.1333,167.6833,60.94,82,100,5.06,overcast clouds
302,Lahaina,US,20.8783,-156.6825,84.2,79,100,9.93,overcast clouds
303,Usinsk,RU,65.9939,57.5281,-11.04,96,15,9.95,few clouds
304,Ostrovnoy,RU,68.0531,39.5131,30.63,88,100,10.13,overcast clouds
305,Majene,ID,-3.5403,118.9707,84.33,73,100,6.38,overcast clouds
306,Chuy,UY,-33.6971,-53.4616,60.76,83,0,5.23,clear sky
307,Miram Shah,PK,33.0086,70.0697,52.12,34,0,6.85,clear sky
308,Cortes,ES,41.9395,-1.4396,66.25,64,100,10.49,light rain
309,Lagoa,PT,39.05,-27.9833,61.61,66,100,21.9,overcast clouds
310,Broken Hill,AU,-31.95,141.4333,63.55,34,0,8.79,clear sky
311,Gondanglegi,ID,-7.7479,112.0132,85.33,70,87,4.14,overcast clouds
312,Santa Cruz,BO,-17.8,-63.1667,76.46,73,72,5.75,broken clouds
313,Tumut,AU,-35.3,148.2167,60.49,57,19,6.98,few clouds
314,Kahului,US,20.8947,-156.47,84.22,63,20,16.11,few clouds
315,Ponta Do Sol,PT,32.6667,-17.1,69.71,84,84,7.0,broken clouds
316,Kodiak,US,57.79,-152.4072,44.11,93,100,18.41,mist
317,Kushmurun,KZ,52.4503,64.6311,12.15,93,98,2.08,overcast clouds
318,Lavrentiya,RU,65.5833,-171.0,33.51,96,100,14.25,overcast clouds
319,Shadrinsk,RU,56.0852,63.6335,1.15,97,94,3.29,overcast clouds
320,Mannarakkat,IN,10.9833,76.4667,74.88,88,100,3.06,overcast clouds
321,Canberra,AU,-35.2835,149.1281,63.27,48,40,8.05,scattered clouds
322,Rabaul,PG,-4.1967,152.1721,82.76,69,100,4.54,overcast clouds
323,San Juan,AR,-31.5375,-68.5364,87.62,26,50,16.93,scattered clouds
324,Monywa,MM,22.1167,95.1333,71.42,68,0,7.49,clear sky
325,Porto De Moz,BR,-1.7483,-52.2383,77.97,64,85,3.78,overcast clouds
326,Bac Lieu,VN,9.285,105.7244,83.44,75,95,15.75,overcast clouds
327,Dwarka,IN,22.2394,68.9678,78.15,59,0,9.84,clear sky
328,Gravdal,NO,68.1214,13.5031,42.6,54,27,8.7,scattered clouds
329,Teofilo Otoni,BR,-17.8575,-41.5053,68.34,98,100,1.74,overcast clouds
330,Zeya,RU,53.75,127.2667,16.75,86,100,6.64,overcast clouds
331,Benton Harbor,US,42.1167,-86.4542,37.65,77,100,11.5,overcast clouds
332,Yei,SS,4.095,30.6779,66.0,93,84,2.86,broken clouds
333,Nyurba,RU,63.2842,118.3319,3.47,96,100,3.2,overcast clouds
334,Padang,ID,-0.9492,100.3543,73.45,86,100,3.04,light rain
335,Maldonado,UY,-34.6667,-54.9167,67.23,72,6,5.86,clear sky
336,Jishou,CN,28.3167,109.7167,57.04,72,81,1.74,broken clouds
337,Srebrenica,BA,44.1064,19.2969,51.58,99,100,1.25,heavy intensity rain
338,Tiksi,RU,71.6872,128.8694,-20.58,99,95,3.69,overcast clouds
339,Bucerias,MX,20.75,-105.3333,76.98,83,0,6.91,clear sky
340,Wilmington,US,34.2257,-77.9447,53.51,89,0,4.0,clear sky
341,Esil,KZ,51.9556,66.4042,12.88,94,88,2.68,overcast clouds
342,Tshikapa,CD,-6.4167,20.8,68.09,98,98,1.41,overcast clouds
